"FECHA_CORTE","FECHA_EMISION","MES_FACTURACION","COD_EMPRESA","RAZON_SOCIAL","GRUPO","COD_SIS_ELECTR","COD_TARIFA","ATARIFA","USO","SUMINISTROS","PROMEDIO_CONSUMO"
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0223,23,"1P-BT Pension Fija                                                                                                                                    ",Comercial,1,500
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0223,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,3,124
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,2,225
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0223,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,1,445
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0223,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,2,22
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE1074,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,178,58
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0060,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,8,15
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0068,18,De 301 a 500 kW.h                                                                                                                                     ,Residencial,1,360
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,346,5
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0068,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,27,54
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0222,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,1,127
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,21,Exceso de 1000 kW.h                                                                                                                                   ,Residencial,41,1625
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,353,351
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR5001,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,19
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0062,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,1,139
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0061,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,1,0
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,16,De 101 a 150 kW.h                                                                                                                                     ,Residencial,2,117
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0105,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,4,93
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0076,14,De 1 a 30 kW.h                                                                                                                                        ,Residencial,3,17
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0105,19,De 501 a 750 kW.h                                                                                                                                     ,Residencial,1,521
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0081,17,De 151 a 300 kW.h                                                                                                                                     ,Residencial,1,269
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0105,22,"1E-BT No Residencial                                                                                                                                  ",Comercial,7,29
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SR0105,3,"1P2E-MT Presente en Punta                                                                                                                             ",Comercial,1,756
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0075,20,De 751 a 1000 kW.h                                                                                                                                    ,Residencial,1,765
"20250306","20220131","202201",ELC ,ELECTRO CENTRO,PUBLICAS,SE0075,15,De 31 a 100 kW.h                                                                                                                                      ,Residencial,1264,54
